Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,symmetric,0.31,0.4793733757194388
100% Corpus,7,symmetric,0.61,0.4618665177446529
100% Corpus,7,symmetric,0.9099999999999999,0.4897748321031636
100% Corpus,7,symmetric,symmetric,0.47887264148156944
100% Corpus,7,asymmetric,0.01,0.4299401544177991
100% Corpus,7,asymmetric,0.31,0.4249355419517768
100% Corpus,7,asymmetric,0.61,0.42627571480503423
100% Corpus,7,asymmetric,0.9099999999999999,0.4501173648687781
100% Corpus,7,asymmetric,symmetric,0.40894198278148214
100% Corpus,8,0.01,0.01,0.43656596686034665
100% Corpus,8,0.01,0.31,0.4262726412423538
100% Corpus,8,0.01,0.61,0.4348525170502111
100% Corpus,8,0.01,0.9099999999999999,0.471925046246771
100% Corpus,8,0.01,symmetric,0.41591734662626445
100% Corpus,8,0.31,0.01,0.4224618112092526
100% Corpus,8,0.31,0.31,0.41147581891342155
100% Corpus,8,0.31,0.61,0.41977362324192047
100% Corpus,8,0.31,0.9099999999999999,0.49195280915626083
100% Corpus,8,0.31,symmetric,0.4339709379201702
100% Corpus,8,0.61,0.01,0.4238986010353098
100% Corpus,8,0.61,0.31,0.40947483004342355
100% Corpus,8,0.61,0.61,0.41891658886930944
100% Corpus,8,0.61,0.9099999999999999,0.42337937992749947
100% Corpus,8,0.61,symmetric,0.4276745714116892
100% Corpus,8,0.9099999999999999,0.01,0.41302109698406797
100% Corpus,8,0.9099999999999999,0.31,0.4271316758692515
100% Corpus,8,0.9099999999999999,0.61,0.4205303891084551
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3774725027960293
100% Corpus,8,0.9099999999999999,symmetric,0.4214686466056241
100% Corpus,8,symmetric,0.01,0.4132205118516869
100% Corpus,8,symmetric,0.31,0.41020233766127867
100% Corpus,8,symmetric,0.61,0.4458713601810095
100% Corpus,8,symmetric,0.9099999999999999,0.4955126287927657
100% Corpus,8,symmetric,symmetric,0.40763958012969215
100% Corpus,8,asymmetric,0.01,0.4049224387281173
100% Corpus,8,asymmetric,0.31,0.45893597530746033
100% Corpus,8,asymmetric,0.61,0.4534664817953288
100% Corpus,8,asymmetric,0.9099999999999999,0.4626907211480543
100% Corpus,8,asymmetric,symmetric,0.45904175640115485
100% Corpus,9,0.01,0.01,0.44737253255776377
100% Corpus,9,0.01,0.31,0.4561444152624517
100% Corpus,9,0.01,0.61,0.5230403635392606
100% Corpus,9,0.01,0.9099999999999999,0.48126343636395963
100% Corpus,9,0.01,symmetric,0.44529374163756885
100% Corpus,9,0.31,0.01,0.4688967524550478
100% Corpus,9,0.31,0.31,0.4754252765757088
100% Corpus,9,0.31,0.61,0.5174261550641938
